time,cityname,aqi,pm2_5,pm10,so2,no2,co,o3,primary_pollutant
2019-05-11,海口市,45,9,20,5,8,0.5,89,/
2019-05-12,海口市,34,13,28,5,9,0.5,67,/
2019-05-13,海口市,29,13,26,5,13,0.5,57,/
2019-05-14,海口市,25,10,21,5,17,0.4,50,/
2019-05-15,海口市,35,15,31,5,19,0.5,70,/
2019-05-16,海口市,36,16,34,5,17,0.5,71,/
2019-05-17,海口市,48,18,35,5,17,0.5,96,/
2019-05-18,海口市,53,17,35,5,19,0.5,103,O3
2019-05-19,海口市,46,18,35,5,16,0.4,92,/
2019-05-20,海口市,61,20,37,5,16,0.5,113,O3
2019-05-21,海口市,37,14,26,5,16,0.5,73,/
2019-05-22,海口市,53,12,21,5,21,0.6,103,O3
2019-05-23,海口市,59,16,31,5,21,0.6,110,O3
2019-05-24,海口市,46,13,26,5,15,0.5,92,/
2019-05-25,海口市,35,11,19,5,16,0.5,69,/
2019-05-26,海口市,35,11,21,5,15,0.5,70,/
2019-05-27,海口市,36,11,22,4,17,0.5,71,/
2019-05-28,海口市,39,9,21,4,24,0.5,77,/
2019-05-29,海口市,39,8,20,4,28,0.5,78,/
2019-05-30,海口市,34,8,18,5,23,0.5,67,/
2019-05-31,海口市,37,9,23,5,20,0.4,73,/
2019-06-01,海口市,31,8,18,4,22,0.4,62,/
2019-06-02,海口市,28,9,22,5,22,0.5,51,/
2019-06-03,海口市,38,13,29,6,26,0.5,75,/
2019-06-04,海口市,31,12,26,5,19,0.5,62,/
2019-06-05,海口市,21,9,18,4,10,0.4,41,/
2019-06-06,海口市,31,8,19,4,9,0.4,61,/
2019-06-07,海口市,31,7,14,5,8,0.3,62,/
2019-06-08,海口市,35,7,17,5,11,0.3,70,/
2019-06-09,海口市,38,8,18,5,12,0.4,75,/
2019-06-10,海口市,40,12,24,5,12,0.4,80,/
2019-06-11,海口市,51,17,33,6,15,0.5,101,O3
2019-06-12,海口市,49,15,32,6,19,0.6,98,/
2019-06-13,海口市,38,11,27,6,14,0.5,75,/
2019-06-14,海口市,28,11,27,6,22,0.5,50,/
2019-06-15,海口市,32,13,24,5,16,0.5,63,/
2019-06-16,海口市,28,8,17,4,14,0.5,55,/
2019-06-17,海口市,33,9,23,5,12,0.5,66,/
2019-06-18,海口市,29,8,19,5,12,0.5,57,/
2019-06-19,海口市,32,9,18,4,11,0.5,64,/
2019-06-20,海口市,39,8,21,5,10,0.5,77,/
2019-06-21,海口市,34,10,21,5,9,0.5,68,/
2019-06-22,海口市,32,11,22,5,8,0.5,64,/
2019-06-23,海口市,26,9,23,4,8,0.5,52,/
2019-06-24,海口市,41,13,27,5,12,0.5,82,/
2019-06-25,海口市,42,12,31,5,19,0.5,84,/
2019-06-26,海口市,45,11,25,5,18,0.5,90,/
2019-06-27,海口市,40,11,23,5,13,0.5,80,/
2019-06-28,海口市,45,9,22,5,12,0.5,89,/
2019-06-29,海口市,45,12,25,5,17,0.5,89,/
2019-06-30,海口市,41,10,22,5,18,0.6,81,/
2019-07-01,海口市,42,8,13,5,13,0.6,83,/
2019-07-02,海口市,29,7,15,4,7,0.5,57,/
2019-07-03,海口市,26,5,13,4,6,0.5,51,/
2019-07-04,海口市,25,7,23,4,7,0.5,50,/
2019-07-05,海口市,36,6,18,5,9,0.5,72,/
2019-07-06,海口市,44,12,26,5,14,0.6,88,/
2019-07-07,海口市,37,10,22,5,12,0.6,74,/
2019-07-08,海口市,31,10,22,5,11,0.6,62,/
2019-07-09,海口市,36,11,26,5,12,0.5,72,/
2019-07-10,海口市,31,14,27,5,12,0.5,62,/
2019-07-11,海口市,33,14,26,5,17,0.5,65,/
2019-07-12,海口市,29,14,29,5,11,0.4,58,/
2019-07-13,海口市,35,19,35,5,10,0.4,60,/
2019-07-14,海口市,42,19,34,5,12,0.4,83,/
2019-07-15,海口市,39,20,34,5,13,0.5,78,/
2019-07-16,海口市,36,15,28,4,8,0.5,71,/
2019-07-17,海口市,37,15,28,5,12,0.5,73,/
2019-07-18,海口市,28,15,28,5,16,0.5,54,/
2019-07-19,海口市,61,20,37,6,19,0.5,113,O3
2019-07-20,海口市,46,16,34,5,18,0.5,92,/
2019-07-21,海口市,39,13,29,4,16,0.5,78,/
2019-07-22,海口市,38,9,20,4,14,0.5,76,/
2019-07-23,海口市,33,8,19,5,15,0.5,66,/
2019-07-24,海口市,32,9,19,5,12,0.5,64,/
2019-07-25,海口市,26,8,19,4,11,0.5,52,/
2019-07-26,海口市,43,8,20,5,11,0.5,85,/
2019-07-27,海口市,40,10,20,5,12,0.5,79,/
2019-07-28,海口市,40,8,18,4,11,0.5,79,/
2019-07-29,海口市,26,8,15,4,9,0.5,51,/
2019-07-30,海口市,32,7,16,4,8,0.5,63,/
2019-07-31,海口市,34,6,20,5,7,0.5,68,/
2019-08-01,海口市,24,12,12,5,6,0.6,48,/
2019-08-02,海口市,21,9,12,4,10,0.6,41,/
2019-08-03,海口市,26,7,17,4,12,0.6,52,/
2019-08-04,海口市,22,7,16,4,11,0.6,44,/
2019-08-05,海口市,28,7,17,4,8,0.6,55,/
2019-08-06,海口市,31,12,25,5,15,0.6,62,/
2019-08-07,海口市,30,12,27,5,22,0.5,60,/
2019-08-08,海口市,39,14,27,5,20,0.5,78,/
2019-08-09,海口市,46,17,32,5,19,0.6,92,/
2019-08-10,海口市,35,15,27,5,16,0.5,69,/
2019-08-11,海口市,41,10,24,6,14,0.5,81,/
2019-08-12,海口市,36,11,26,6,16,0.5,71,/
2019-08-13,海口市,32,12,28,5,15,0.5,63,/
2019-08-14,海口市,32,11,28,5,13,0.5,63,/
2019-08-15,海口市,39,17,32,5,18,0.5,77,/
2019-08-16,海口市,28,9,23,5,21,0.5,55,/
2019-08-17,海口市,31,11,25,4,14,0.6,61,/
2019-08-18,海口市,34,13,28,5,14,0.6,67,/
2019-08-19,海口市,27,9,24,5,19,0.6,53,/
2019-08-20,海口市,26,9,21,4,20,0.7,52,/
2019-08-21,海口市,30,10,19,4,21,0.6,59,/
2019-08-22,海口市,35,8,18,5,28,0.7,57,/
2019-08-23,海口市,34,8,18,5,22,0.7,68,/
2019-08-24,海口市,43,13,27,6,19,0.6,85,/
2019-08-25,海口市,41,15,27,5,16,0.6,81,/
2019-08-26,海口市,/,13,32,6,24,0.7,/,/
2019-08-27,海口市,25,11,24,4,12,0.5,49,/
2019-08-28,海口市,23,8,20,5,10,0.4,46,/
2019-08-29,海口市,28,8,18,4,6,0.4,56,/
2019-08-30,海口市,22,6,16,4,7,0.5,44,/
2019-08-31,海口市,22,6,14,4,10,0.5,43,/
2019-09-01,海口市,27,4,12,4,8,0.5,54,/
2019-09-02,海口市,22,7,16,4,6,0.5,43,/
2019-09-03,海口市,30,6,20,4,4,0.5,60,/
2019-09-04,海口市,25,4,10,4,5,0.5,49,/
2019-09-05,海口市,24,6,17,4,8,0.5,48,/
2019-09-06,海口市,47,11,23,5,17,0.6,93,/
2019-09-07,海口市,40,14,30,5,27,0.6,79,/
2019-09-08,海口市,37,17,33,5,17,0.6,74,/
2019-09-09,海口市,/,12,23,4,13,0.5,/,/
2019-09-10,海口市,31,10,21,4,14,0.6,62,/
2019-09-11,海口市,27,6,18,4,19,0.6,54,/
2019-09-12,海口市,34,11,24,5,18,0.6,68,/
2019-09-13,海口市,35,13,22,5,9,0.6,69,/
2019-09-14,海口市,45,16,26,5,8,0.6,89,/
2019-09-15,海口市,40,15,29,5,13,0.6,80,/
2019-09-16,海口市,49,18,30,5,13,0.6,97,/
2019-09-17,海口市,51,16,31,5,11,0.7,101,O3
2019-09-18,海口市,51,14,30,5,8,0.7,101,O3
2019-09-19,海口市,62,18,35,4,16,0.8,114,O3
2019-09-20,海口市,90,27,48,6,30,0.9,147,O3
2019-09-21,海口市,102,38,65,9,30,0.9,162,O3
2019-09-22,海口市,107,29,52,8,12,0.8,167,O3
2019-09-23,海口市,90,25,51,7,20,0.8,147,O3
2019-09-24,海口市,111,25,38,6,13,0.7,172,O3
2019-09-25,海口市,111,27,46,6,14,0.6,172,O3
2019-09-26,海口市,118,36,52,6,16,0.6,179,O3
2019-09-27,海口市,110,38,56,7,18,0.6,171,O3
2019-09-28,海口市,132,47,69,10,20,0.7,195,O3
2019-09-29,海口市,114,54,79,9,28,0.8,175,O3
2019-09-30,海口市,108,52,76,7,25,0.8,168,O3
2019-10-01,海口市,81,45,61,7,13,0.7,137,O3
2019-10-02,海口市,58,41,55,6,12,0.7,104,PM2.5
2019-10-03,海口市,44,22,34,5,10,0.5,88,/
2019-10-04,海口市,33,19,31,4,10,0.5,65,/
2019-10-05,海口市,25,16,25,4,8,0.5,49,/
2019-10-06,海口市,39,14,23,4,9,0.5,78,/
2019-10-07,海口市,21,5,11,4,6,0.4,42,/
2019-10-08,海口市,27,11,26,4,7,0.5,54,/
2019-10-09,海口市,33,15,31,5,7,0.5,66,/
2019-10-10,海口市,32,15,32,4,10,0.6,63,/
2019-10-11,海口市,36,17,32,5,12,0.6,72,/
2019-10-12,海口市,42,17,30,5,12,0.6,84,/
2019-10-13,海口市,52,20,33,5,9,0.6,102,O3
2019-10-14,海口市,62,15,25,4,7,0.7,114,O3
2019-10-15,海口市,44,11,31,4,6,0.6,87,/
2019-10-16,海口市,49,13,35,4,6,0.6,97,/
2019-10-17,海口市,78,22,37,5,11,0.7,133,O3
2019-10-18,海口市,106,30,49,7,10,0.8,166,O3
2019-10-19,海口市,144,40,57,8,9,0.8,208,O3
2019-10-20,海口市,90,28,43,5,9,0.8,147,O3
2019-10-21,海口市,89,26,45,5,13,0.7,146,O3
2019-10-22,海口市,88,25,44,5,13,0.7,145,O3
2019-10-23,海口市,54,17,33,5,11,0.6,104,O3
2019-10-24,海口市,50,16,31,5,9,0.6,99,/
2019-10-25,海口市,68,23,39,5,8,0.7,121,O3
2019-10-26,海口市,39,14,27,4,8,0.6,78,/
2019-10-27,海口市,57,22,39,5,10,0.7,108,O3
2019-10-28,海口市,55,25,37,5,13,0.8,106,O3
2019-10-29,海口市,78,9,22,6,13,0.9,133,O3
2019-10-30,海口市,99,21,44,8,9,0.9,158,O3
2019-10-31,海口市,72,33,69,6,9,0.9,126,O3
2019-11-01,海口市,55,20,45,4,8,0.8,105,O3
2019-11-02,海口市,47,18,37,4,8,0.7,94,/
2019-11-03,海口市,130,38,61,8,15,0.9,193,O3
2019-11-04,海口市,105,42,69,7,11,0.9,165,O3
2019-11-05,海口市,116,42,74,8,12,0.9,177,O3
2019-11-06,海口市,122,44,73,7,20,0.8,184,O3
2019-11-07,海口市,107,42,65,9,15,0.7,167,O3
2019-11-08,海口市,98,38,58,8,15,0.7,157,O3
2019-11-09,海口市,107,32,50,7,12,0.6,167,O3
2019-11-10,海口市,113,33,50,6,10,0.6,174,O3
2019-11-11,海口市,99,26,44,5,10,0.6,158,O3
2019-11-12,海口市,49,13,26,3,10,0.5,98,/
2019-11-13,海口市,45,14,33,4,9,0.4,89,/
2019-11-14,海口市,90,36,53,6,9,0.6,147,O3
2019-11-15,海口市,86,40,61,4,12,0.6,143,O3
2019-11-16,海口市,49,20,46,4,15,0.5,98,/
2019-11-17,海口市,39,14,33,4,12,0.4,77,/
2019-11-18,海口市,36,14,29,4,11,0.5,71,/
2019-11-19,海口市,71,28,48,6,10,0.8,125,O3
2019-11-20,海口市,100,30,50,6,9,0.7,160,O3
2019-11-21,海口市,111,32,53,5,10,0.7,172,O3
2019-11-22,海口市,132,40,66,7,27,0.7,195,O3
2019-11-23,海口市,60,21,40,4,22,0.6,111,O3
2019-11-24,海口市,60,15,24,4,13,0.5,111,O3
2019-11-25,海口市,97,23,36,5,9,0.6,156,O3
2019-11-26,海口市,42,14,33,4,6,0.5,83,/
2019-11-27,海口市,48,14,31,4,7,0.5,96,/
2019-11-28,海口市,58,30,49,7,10,0.8,109,O3
2019-11-29,海口市,49,17,36,5,12,0.8,97,/
2019-11-30,海口市,43,13,30,4,8,0.5,86,/
2019-12-01,海口市,92,27,43,5,11,0.7,150,O3
2019-12-02,海口市,62,24,46,8,13,0.9,114,O3
2019-12-03,海口市,70,30,47,8,11,0.8,124,O3
2019-12-04,海口市,85,27,51,9,13,0.6,141,O3
2019-12-05,海口市,55,21,47,9,11,0.5,106,O3
2019-12-06,海口市,82,26,52,10,13,0.5,138,O3
2019-12-07,海口市,73,24,46,9,11,0.5,127,O3
2019-12-08,海口市,85,23,44,8,11,0.5,141,O3
2019-12-09,海口市,97,23,41,6,13,0.6,156,O3
2019-12-10,海口市,133,38,55,8,18,0.7,196,O3
2019-12-11,海口市,130,38,57,9,17,0.7,193,O3
2019-12-12,海口市,81,32,50,5,19,0.7,137,O3
2019-12-13,海口市,60,26,57,4,9,0.7,111,O3
2019-12-14,海口市,44,16,39,4,10,0.6,87,/
2019-12-15,海口市,57,18,39,4,13,0.6,108,O3
2019-12-16,海口市,38,17,38,4,12,0.6,72,/
2019-12-17,海口市,33,14,33,4,12,0.6,63,/
2019-12-18,海口市,29,15,26,4,12,0.6,58,/
2019-12-19,海口市,42,17,33,4,10,0.6,83,/
2019-12-20,海口市,50,28,43,4,16,1,100,/
2019-12-21,海口市,37,24,36,4,18,1,74,/
2019-12-22,海口市,43,15,27,4,15,0.8,85,/
2019-12-23,海口市,30,11,25,4,19,0.7,60,/
2019-12-24,海口市,34,7,23,4,16,0.6,68,/
2019-12-25,海口市,52,14,27,4,14,0.6,102,O3
2019-12-26,海口市,45,18,32,4,13,0.7,90,/
2019-12-27,海口市,55,19,36,6,14,1.1,105,O3
2019-12-28,海口市,79,30,46,6,13,1,134,O3
2019-12-29,海口市,60,30,37,5,13,0.9,112,O3
2019-12-30,海口市,48,19,21,5,13,0.8,95,/
2019-12-31,海口市,44,8,20,4,8,0.6,87,/
2020-01-01,海口市,43,12,28,4,7,0.7,86,/
