time,cityname,aqi,pm2_5,pm10,so2,no2,co,o3,primary_pollutant
2019-01-01,海口市,48,33,37,10,13,0.9,42,/
2019-01-02,海口市,48,33,42,10,14,0.9,44,/
2019-01-03,海口市,39,27,25,6,17,0.9,46,/
2019-01-04,海口市,26,14,17,6,19,0.8,52,/
2019-01-05,海口市,/,28,34,7,19,0.9,/,/
2019-01-06,海口市,37,21,37,7,20,0.9,59,/
2019-01-07,海口市,46,13,46,5,14,0.8,72,/
2019-01-08,海口市,51,28,51,5,25,0.9,73,PM10
2019-01-09,海口市,44,18,44,4,20,0.7,51,/
2019-01-10,海口市,50,17,50,5,13,0.7,60,/
2019-01-11,海口市,47,21,47,5,14,0.6,84,/
2019-01-12,海口市,30,17,30,5,15,0.5,55,/
2019-01-13,海口市,57,25,40,6,13,0.7,108,O3
2019-01-14,海口市,/,14,32,5,9,0.6,/,/
2019-01-15,海口市,48,25,40,5,9,0.6,95,/
2019-01-16,海口市,/,/,/,/,/,/,/,/
2019-01-17,海口市,43,30,43,8,14,1.1,75,/
2019-01-18,海口市,/,/,/,/,/,/,/,/
2019-01-19,海口市,/,/,/,/,/,/,/,/
2019-01-20,海口市,/,/,/,/,/,/,/,/
2019-01-21,海口市,44,30,44,8,12,0.9,72,/
2019-01-22,海口市,52,36,46,9,16,1,86,PM2.5
2019-01-23,海口市,103,49,64,8,33,0.9,163,O3
2019-01-24,海口市,66,34,52,6,11,0.7,119,O3
2019-01-25,海口市,57,30,50,6,14,0.6,108,O3
2019-01-26,海口市,/,/,/,/,/,/,/,/
2019-01-27,海口市,55,27,55,6,7,0.5,106,O3
2019-01-28,海口市,47,19,47,5,8,0.4,79,/
2019-01-29,海口市,32,11,28,5,9,0.4,64,/
2019-01-30,海口市,/,/,/,/,/,/,72,/
2019-01-31,海口市,35,16,28,5,8,0.4,70,/
2019-02-01,海口市,48,21,36,6,12,0.7,95,/
2019-02-02,海口市,41,16,41,5,10,0.6,77,/
2019-02-03,海口市,31,11,21,5,9,0.5,62,/
2019-02-04,海口市,26,14,25,5,6,0.4,51,/
2019-02-05,海口市,37,25,37,7,6,0.4,44,/
2019-02-06,海口市,/,/,/,/,/,/,/,/
2019-02-07,海口市,24,11,19,5,6,0.4,48,/
2019-02-08,海口市,30,15,24,5,5,0.4,59,/
2019-02-09,海口市,26,13,22,5,5,0.4,51,/
2019-02-10,海口市,29,15,25,5,5,0.4,57,/
2019-02-11,海口市,33,17,33,5,6,0.5,61,/
2019-02-12,海口市,31,12,30,5,8,0.5,61,/
2019-02-13,海口市,31,11,31,5,7,0.4,61,/
2019-02-14,海口市,34,12,25,5,8,0.4,67,/
2019-02-15,海口市,25,12,25,5,9,0.5,44,/
2019-02-16,海口市,22,9,22,5,8,0.4,40,/
2019-02-17,海口市,22,9,21,5,7,0.4,44,/
2019-02-18,海口市,26,10,20,5,9,0.5,52,/
2019-02-19,海口市,26,14,26,5,8,0.4,49,/
2019-02-20,海口市,22,10,22,5,7,0.3,41,/
2019-02-21,海口市,28,10,23,6,13,0.3,56,/
2019-02-22,海口市,33,17,33,6,12,0.6,50,/
2019-02-23,海口市,29,13,29,5,12,0.4,51,/
2019-02-24,海口市,24,10,17,5,12,0.8,48,/
2019-02-25,海口市,41,21,41,5,16,0.9,39,/
2019-02-26,海口市,33,14,33,5,14,0.7,63,/
2019-02-27,海口市,35,17,31,5,11,0.5,69,/
2019-02-28,海口市,29,13,28,5,10,0.5,58,/
2019-03-01,海口市,25,11,25,5,10,0.5,47,/
2019-03-02,海口市,27,13,27,6,11,0.4,49,/
2019-03-03,海口市,34,17,32,7,15,0.5,68,/
2019-03-04,海口市,23,11,23,5,10,0.5,44,/
2019-03-05,海口市,24,11,23,5,9,0.4,48,/
2019-03-06,海口市,33,20,33,6,16,0.5,53,/
2019-03-07,海口市,25,11,25,5,14,0.7,41,/
2019-03-08,海口市,35,12,30,5,12,0.6,70,/
2019-03-09,海口市,31,20,31,6,16,0.6,52,/
2019-03-10,海口市,27,15,27,5,16,0.8,34,/
2019-03-11,海口市,29,17,29,5,11,0.8,49,/
2019-03-12,海口市,46,19,32,6,12,0.8,92,/
2019-03-13,海口市,41,22,41,5,11,0.7,73,/
2019-03-14,海口市,40,23,38,5,11,0.7,79,/
2019-03-15,海口市,52,31,53,5,12,0.8,74,PM10
2019-03-16,海口市,39,16,38,5,9,0.6,78,/
2019-03-17,海口市,44,18,44,5,9,0.6,72,/
2019-03-18,海口市,41,19,41,5,11,0.5,57,/
2019-03-19,海口市,39,21,39,5,11,0.5,49,/
2019-03-20,海口市,32,16,32,4,12,0.4,53,/
2019-03-21,海口市,34,14,34,6,19,0.4,51,/
2019-03-22,海口市,35,16,35,5,17,0.4,45,/
2019-03-23,海口市,27,14,27,5,11,0.5,42,/
2019-03-24,海口市,26,8,21,5,16,0.6,51,/
2019-03-25,海口市,/,19,42,/,/,/,/,/
2019-03-26,海口市,35,15,35,4,11,0.5,67,/
2019-03-27,海口市,34,14,30,4,9,0.5,68,/
2019-03-28,海口市,35,15,30,5,12,0.4,69,/
2019-03-29,海口市,39,24,39,6,18,0.5,72,/
2019-03-30,海口市,28,16,28,5,15,0.4,52,/
2019-03-31,海口市,27,12,22,5,10,0.4,54,/
2019-04-01,海口市,43,11,29,5,9,0.4,85,/
2019-04-02,海口市,46,13,33,4,9,0.4,91,/
2019-04-03,海口市,40,14,35,5,9,0.5,80,/
2019-04-04,海口市,32,13,30,4,9,0.5,63,/
2019-04-05,海口市,35,12,26,5,9,0.5,70,/
2019-04-06,海口市,32,13,25,5,14,0.5,63,/
2019-04-07,海口市,32,12,24,5,16,0.5,63,/
2019-04-08,海口市,29,13,27,5,16,0.4,57,/
2019-04-09,海口市,38,17,30,5,14,0.4,75,/
2019-04-10,海口市,44,16,33,5,17,0.4,88,/
2019-04-11,海口市,38,15,31,5,16,0.4,76,/
2019-04-12,海口市,26,14,26,4,10,0.4,42,/
2019-04-13,海口市,24,10,20,4,11,0.4,48,/
2019-04-14,海口市,22,11,22,4,14,0.5,43,/
2019-04-15,海口市,50,12,26,5,10,0.6,100,/
2019-04-16,海口市,39,11,22,5,12,0.6,77,/
2019-04-17,海口市,37,6,16,4,11,0.6,73,/
2019-04-18,海口市,25,12,25,4,12,0.5,45,/
2019-04-19,海口市,32,15,30,5,13,0.5,64,/
2019-04-20,海口市,38,22,38,4,14,0.5,72,/
2019-04-21,海口市,37,19,33,4,13,0.5,74,/
2019-04-22,海口市,49,20,37,5,15,0.5,98,/
2019-04-23,海口市,35,12,25,4,12,0.4,70,/
2019-04-24,海口市,45,17,32,5,16,0.5,89,/
2019-04-25,海口市,49,17,33,5,16,0.5,98,/
2019-04-26,海口市,34,13,25,5,13,0.5,67,/
2019-04-27,海口市,32,11,22,4,12,0.5,63,/
2019-04-28,海口市,28,14,24,4,11,0.5,55,/
2019-04-29,海口市,38,15,29,5,14,0.5,75,/
2019-04-30,海口市,60,17,33,5,18,0.6,111,O3
2019-05-01,海口市,49,29,40,8,17,0.8,97,/
2019-05-02,海口市,53,22,35,5,12,0.8,103,O3
2019-05-03,海口市,56,20,39,4,10,0.8,107,O3
2019-05-04,海口市,/,/,/,/,/,/,/,/
2019-05-05,海口市,30,14,28,4,17,0.7,60,/
2019-05-06,海口市,36,18,32,4,11,0.6,71,/
2019-05-07,海口市,44,7,20,4,8,0.6,88,/
2019-05-08,海口市,41,7,20,5,11,0.6,81,/
2019-05-09,海口市,49,7,20,6,12,0.7,98,/
2019-05-10,海口市,58,11,21,5,11,0.5,109,O3
