time,cityname,aqi,pm2_5,pm10,so2,no2,co,o3,primary_pollutant
2018/1/1,海口市,69,50,68,7,16,0.8,100,PM2.5
2018/1/2,海口市,58,39,65,5,10,0.7,91,PM10
2018/1/3,海口市,57,23,63,6,11,0.5,77,PM10
2018/1/4,海口市,44,19,44,5,15,0.5,68,/
2018/1/5,海口市,24,13,19,5,16,0.5,48,/
2018/1/6,海口市,28,8,14,4,22,0.6,35,/
2018/1/7,海口市,39,8,18,4,31,0.8,23,/
2018/1/8,海口市,24,15,24,4,18,0.7,22,/
2018/1/9,海口市,26,16,26,5,12,0.9,47,/
2018/1/10,海口市,42,28,42,9,14,0.7,63,/
2018/1/11,海口市,46,18,36,8,13,0.4,92,/
2018/1/12,海口市,52,18,43,8,12,0.4,102,O3
2018/1/13,海口市,51,22,49,7,10,0.5,101,O3
2018/1/14,海口市,48,21,48,5,10,0.4,89,/
2018/1/15,海口市,46,20,42,6,13,0.4,91,/
2018/1/16,海口市,50,24,43,6,17,0.5,99,/
2018/1/17,海口市,68,39,54,8,23,0.6,121,O3
2018/1/18,海口市,78,44,56,7,28,0.5,133,O3
2018/1/19,海口市,50,35,49,7,16,0.6,84,/
2018/1/20,海口市,46,26,46,5,17,0.5,54,/
2018/1/21,海口市,50,26,50,4,13,0.5,63,/
2018/1/22,海口市,53,37,51,6,14,0.6,83,PM2.5
2018/1/23,海口市,54,38,54,6,12,0.7,99,PM2.5
2018/1/24,海口市,51,22,52,4,10,0.6,87,PM10
2018/1/25,海口市,54,24,58,5,12,0.6,68,PM10
2018/1/26,海口市,44,18,44,5,10,0.5,71,/
2018/1/27,海口市,28,13,28,4,12,0.5,49,/
2018/1/28,海口市,29,20,23,4,19,0.7,42,/
2018/1/29,海口市,22,9,15,4,13,0.8,34,/
2018/1/30,海口市,23,16,18,5,14,0.8,27,/
2018/1/31,海口市,26,18,20,6,13,0.8,49,/
2018/2/1,海口市,67,48,52,9,11,0.7,98,PM2.5
2018/2/2,海口市,65,47,59,10,15,0.7,74,PM2.5
2018/2/3,海口市,54,38,55,10,11,0.6,103,PM2.5
