time,cityname,aqi,pm2_5,pm10,so2,no2,co,o3,primary_pollutant
2016/1/1,海口市,62,44,66,9,16,0.8,108,PM2.5
2016/1/2,海口市,57,40,59,8,16,0.8,93,PM2.5
2016/1/3,海口市,62,44,58,6,20,0.8,70,PM2.5
2016/1/4,海口市,37,19,26,4,29,0.8,52,/
2016/1/5,海口市,35,18,29,5,28,0.6,50,/
2016/1/6,海口市,45,30,41,4,24,0.7,89,/
2016/1/7,海口市,48,28,46,6,14,0.7,96,/
2016/1/8,海口市,48,18,41,4,12,0.6,95,/
2016/1/9,海口市,48,25,46,4,12,0.6,95,/
2016/1/10,海口市,42,21,42,4,18,0.6,74,/
2016/1/11,海口市,29,13,25,5,21,0.7,57,/
2016/1/12,海口市,35,20,35,5,15,0.8,58,/
2016/1/13,海口市,44,25,44,5,17,0.9,81,/
2016/1/14,海口市,44,17,35,4,14,0.6,88,/
2016/1/15,海口市,40,18,38,4,32,0.8,51,/
2016/1/16,海口市,48,17,48,4,28,0.8,47,/
2016/1/17,海口市,37,21,28,7,21,0.9,74,/
2016/1/18,海口市,39,23,36,6,11,1,78,/
2016/1/19,海口市,45,27,45,5,12,0.9,81,/
2016/1/20,海口市,37,16,21,5,14,0.9,74,/
2016/1/21,海口市,37,24,37,6,20,0.8,60,/
2016/1/22,海口市,45,18,26,4,36,1.1,23,/
2016/1/23,海口市,22,7,12,4,9,0.9,43,/
2016/1/24,海口市,33,18,31,5,7,0.6,66,/
2016/1/25,海口市,49,20,46,7,12,0.5,97,/
2016/1/26,海口市,44,21,43,5,18,0.5,87,/
2016/1/27,海口市,29,17,28,4,22,0.7,58,/
2016/1/28,海口市,35,14,23,4,28,0.6,41,/
2016/1/29,海口市,45,10,20,4,36,0.6,41,/
2016/1/30,海口市,33,23,32,5,23,0.7,55,/
2016/1/31,海口市,31,10,29,4,13,0.5,62,/
2016/2/1,海口市,25,8,16,4,15,1,37,/
2016/2/2,海口市,28,17,21,4,10,1.1,43,/
2016/2/3,海口市,43,27,43,4,11,0.9,68,/
2016/2/4,海口市,54,38,56,6,16,0.9,87,PM2.5
2016/2/5,海口市,43,30,41,6,13,1,82,/
2016/2/6,海口市,68,36,56,8,10,0.7,121,O3
2016/2/7,海口市,59,39,66,10,8,0.5,110,O3
2016/2/8,海口市,160,122,149,18,12,0.6,125,PM2.5
2016/2/9,海口市,62,33,53,5,6,0.5,114,O3
2016/2/10,海口市,61,32,72,4,12,0.6,88,PM10
2016/2/11,海口市,37,19,37,4,13,0.5,70,/
2016/2/12,海口市,44,19,34,4,8,0.5,88,/
2016/2/13,海口市,52,31,48,4,19,0.7,102,O3
2016/2/14,海口市,45,31,40,4,15,0.7,78,/
2016/2/15,海口市,44,26,44,4,9,0.8,54,/
2016/2/16,海口市,48,32,48,4,10,0.7,61,/
2016/2/17,海口市,39,27,37,4,10,0.6,73,/
2016/2/18,海口市,45,31,43,4,12,0.6,66,/
2016/2/19,海口市,52,34,53,5,15,0.7,50,PM10
2016/2/20,海口市,65,35,53,6,10,0.6,118,O3
2016/2/21,海口市,52,34,53,4,18,0.6,100,PM10
2016/2/22,海口市,52,32,54,5,17,0.7,76,PM10
2016/2/23,海口市,44,30,44,6,16,0.8,48,/
2016/2/24,海口市,24,8,13,5,11,0.8,47,/
2016/2/25,海口市,38,22,38,4,12,0.7,56,/
2016/2/26,海口市,42,28,42,4,14,0.7,51,/
2016/2/27,海口市,42,29,40,5,19,0.8,84,/
2016/2/28,海口市,66,30,44,7,23,0.8,119,O3
2016/2/29,海口市,75,33,60,10,28,0.8,130,O3
2016/3/1,海口市,67,42,83,6,21,0.7,115,PM10
2016/3/2,海口市,64,35,77,5,13,0.6,110,PM10
2016/3/3,海口市,55,30,59,5,15,0.5,89,PM10
2016/3/4,海口市,46,24,46,4,15,0.5,82,/
2016/3/5,海口市,38,22,37,4,16,0.5,76,/
2016/3/6,海口市,38,20,38,4,17,0.5,60,/
2016/3/7,海口市,33,16,33,4,14,0.5,62,/
2016/3/8,海口市,44,18,44,5,16,0.5,81,/
2016/3/9,海口市,52,24,53,8,28,0.5,79,PM10
2016/3/10,海口市,22,10,22,4,15,0.5,30,/
2016/3/11,海口市,21,13,20,4,11,0.6,42,/
2016/3/12,海口市,31,21,28,6,24,0.7,28,/
2016/3/13,海口市,31,18,27,8,18,0.8,61,/
2016/3/14,海口市,31,18,31,7,13,0.8,62,/
2016/3/15,海口市,40,15,22,5,15,0.7,80,/
2016/3/16,海口市,32,18,32,7,22,0.7,57,/
2016/3/17,海口市,42,23,42,6,22,0.6,62,/
2016/3/18,海口市,47,32,47,7,24,0.6,71,/
2016/3/19,海口市,46,21,46,6,25,0.5,50,/
2016/3/20,海口市,42,19,42,8,18,0.5,63,/
2016/3/21,海口市,36,18,36,5,12,0.5,64,/
2016/3/22,海口市,40,21,40,5,11,0.5,61,/
2016/3/23,海口市,46,30,46,6,27,0.6,62,/
2016/3/24,海口市,28,10,20,5,13,0.8,56,/
2016/3/25,海口市,30,19,27,6,13,0.7,60,/
2016/3/26,海口市,102,38,56,8,15,0.6,162,O3
2016/3/27,海口市,110,38,58,10,14,0.5,170,O3
2016/3/28,海口市,75,31,57,6,18,0.6,129,O3
2016/3/29,海口市,60,35,63,5,14,0.5,112,O3
2016/3/30,海口市,61,38,72,5,17,0.6,105,PM10
2016/3/31,海口市,60,43,69,5,23,0.6,74,PM10
2016/4/1,海口市,47,25,47,4,18,0.6,53,/
2016/4/2,海口市,34,17,34,6,13,0.5,62,/
2016/4/3,海口市,42,22,42,6,18,0.5,60,/
2016/4/4,海口市,43,22,43,7,19,0.5,72,/
2016/4/5,海口市,40,14,40,6,12,0.4,63,/
2016/4/6,海口市,38,14,38,5,11,0.4,71,/
2016/4/7,海口市,43,18,41,6,20,0.5,86,/
2016/4/8,海口市,46,26,46,9,22,0.5,82,/
2016/4/9,海口市,41,20,41,6,16,0.5,66,/
2016/4/10,海口市,50,24,50,6,22,0.6,65,/
2016/4/11,海口市,60,23,40,4,19,0.7,111,O3
2016/4/12,海口市,51,29,52,5,18,0.6,79,PM10
2016/4/13,海口市,62,44,63,6,27,0.7,81,PM2.5
2016/4/14,海口市,63,44,75,7,24,0.7,111,PM10
2016/4/15,海口市,59,40,67,7,18,0.6,95,PM10
2016/4/16,海口市,59,40,68,7,21,0.6,89,PM10
2016/4/17,海口市,55,29,60,6,17,0.5,81,PM10
2016/4/18,海口市,42,19,38,7,17,0.7,83,/
2016/4/19,海口市,45,21,45,5,14,0.7,90,/
2016/4/20,海口市,55,16,33,5,17,0.5,105,O3
2016/4/21,海口市,51,19,40,8,17,0.5,101,O3
2016/4/22,海口市,49,13,30,6,17,0.5,98,/
2016/4/23,海口市,41,14,31,6,24,0.6,81,/
2016/4/24,海口市,44,26,44,8,25,0.6,83,/
2016/4/25,海口市,52,30,54,8,25,0.6,93,PM10
2016/4/26,海口市,52,27,53,7,22,0.6,69,PM10
2016/4/27,海口市,44,21,44,6,31,0.6,74,/
2016/4/28,海口市,45,24,37,7,30,0.7,90,/
2016/4/29,海口市,41,22,39,5,12,0.6,82,/
2016/4/30,海口市,43,20,40,6,18,0.6,86,/
2016/5/1,海口市,39,17,39,7,17,0.4,74,/
2016/5/2,海口市,38,19,38,5,15,0.5,66,/
