time,cityname,aqi,pm2_5,pm10,so2,no2,co,o3,primary_pollutant
2017/1/1,海口市,50,22,50,5,9,0.6,99,/
2017/1/2,海口市,42,18,37,5,11,0.5,83,/
2017/1/3,海口市,96,37,54,10,18,0.7,155,O3
2017/1/4,海口市,46,20,40,5,8,0.5,91,/
2017/1/5,海口市,42,23,40,6,12,0.5,84,/
2017/1/6,海口市,75,31,46,6,11,0.6,129,O3
2017/1/7,海口市,51,28,52,5,15,0.6,84,PM10
2017/1/8,海口市,44,24,44,5,12,0.6,86,/
2017/1/9,海口市,87,47,58,7,10,1,144,O3
2017/1/10,海口市,55,27,54,4,7,0.7,106,O3
2017/1/11,海口市,56,37,61,4,6,0.6,92,PM10
2017/1/12,海口市,52,32,53,4,12,0.9,88,PM10
2017/1/13,海口市,23,16,18,4,16,0.9,32,/
2017/1/14,海口市,29,11,14,4,15,1.1,41,/
2017/1/15,海口市,27,18,22,5,14,1.1,50,/
2017/1/16,海口市,24,14,18,5,14,0.9,46,/
2017/1/17,海口市,53,19,55,4,14,0.6,70,PM10
2017/1/18,海口市,55,29,59,5,15,0.6,86,PM10
2017/1/19,海口市,54,38,56,5,24,0.7,96,PM2.5
2017/1/20,海口市,45,20,37,5,10,0.9,89,/
2017/1/21,海口市,55,36,47,5,8,0.8,105,O3
2017/1/22,海口市,75,43,57,7,8,0.8,129,O3
2017/1/23,海口市,95,40,60,7,7,0.7,154,O3
2017/1/24,海口市,60,26,60,5,5,0.6,111,O3
2017/1/25,海口市,52,21,44,5,6,0.5,102,O3
2017/1/26,海口市,63,30,49,5,6,0.6,115,O3
2017/1/27,海口市,66,31,51,6,4,0.6,119,O3
2017/1/28,海口市,92,68,85,12,7,0.5,104,PM2.5
2017/1/29,海口市,42,27,38,5,6,0.5,84,/
2017/1/30,海口市,38,18,25,4,6,0.5,75,/
2017/1/31,海口市,38,24,37,4,6,0.7,75,/
2017/2/1,海口市,55,32,46,5,8,0.9,106,O3
2017/2/2,海口市,43,22,40,5,6,0.7,86,/
2017/2/3,海口市,42,21,42,4,6,0.6,84,/
2017/2/4,海口市,39,14,30,4,12,0.6,77,/
2017/2/5,海口市,55,23,27,6,15,0.7,106,O3
2017/2/6,海口市,42,23,36,6,18,0.7,84,/
2017/2/7,海口市,42,27,41,4,11,0.8,84,/
2017/2/8,海口市,52,27,53,5,11,0.7,86,PM10
2017/2/9,海口市,50,14,24,5,7,0.8,100,/
2017/2/10,海口市,72,52,67,12,8,0.8,101,PM2.5
2017/2/11,海口市,70,51,69,12,7,0.8,108,PM2.5
2017/2/12,海口市,95,52,64,10,9,0.7,154,O3
2017/2/13,海口市,95,43,62,8,10,0.7,153,O3
2017/2/14,海口市,60,22,48,5,9,0.5,112,O3
2017/2/15,海口市,59,25,50,4,7,0.6,110,O3
2017/2/16,海口市,48,22,40,6,14,0.6,96,/
2017/2/17,海口市,59,28,45,4,21,0.6,110,O3
2017/2/18,海口市,48,25,39,6,25,0.6,95,/
2017/2/19,海口市,44,28,44,5,20,0.6,76,/
2017/2/20,海口市,36,21,36,4,14,0.6,66,/
2017/2/21,海口市,26,12,26,4,11,0.5,47,/
2017/2/22,海口市,32,14,25,4,12,0.5,63,/
2017/2/23,海口市,29,20,26,4,16,0.6,34,/
2017/2/24,海口市,24,15,20,4,12,0.8,47,/
2017/2/25,海口市,23,14,18,4,14,0.8,45,/
2017/2/26,海口市,38,18,24,5,12,0.7,76,/
2017/2/27,海口市,55,30,48,8,14,0.7,105,O3
2017/2/28,海口市,70,31,59,6,11,0.7,123,O3
2017/3/1,海口市,82,60,82,11,17,0.8,137,PM2.5
2017/3/2,海口市,95,44,74,10,14,0.7,153,O3
2017/3/3,海口市,69,40,74,6,15,0.7,122,O3
2017/3/4,海口市,56,33,62,4,19,0.6,95,PM10
2017/3/5,海口市,54,35,57,5,24,0.6,81,PM10
2017/3/6,海口市,51,34,52,5,22,0.6,70,PM10
2017/3/7,海口市,57,33,63,6,16,0.7,105,PM10
2017/3/8,海口市,39,27,36,4,19,0.9,66,/
2017/3/9,海口市,43,30,40,5,17,0.8,80,/
2017/3/10,海口市,44,26,44,6,29,0.7,65,/
2017/3/11,海口市,43,27,43,5,28,0.7,47,/
2017/3/12,海口市,37,24,37,4,11,0.5,68,/
2017/3/13,海口市,49,26,49,6,21,0.6,80,/
2017/3/14,海口市,42,20,42,6,16,0.6,66,/
2017/3/15,海口市,43,14,40,5,11,0.6,85,/
2017/3/16,海口市,44,14,38,4,11,0.6,88,/
2017/3/17,海口市,42,16,42,5,15,0.6,71,/
2017/3/18,海口市,36,17,36,4,14,0.6,64,/
2017/3/19,海口市,40,10,24,4,12,0.6,79,/
2017/3/20,海口市,36,17,36,4,13,0.6,69,/
2017/3/21,海口市,35,16,35,4,11,0.6,59,/
2017/3/22,海口市,33,16,33,5,11,0.5,65,/
2017/3/23,海口市,34,16,34,5,10,0.6,58,/
2017/3/24,海口市,28,12,28,5,8,0.5,52,/
2017/3/25,海口市,32,18,32,6,14,0.7,45,/
2017/3/26,海口市,39,12,31,5,9,0.8,78,/
2017/3/27,海口市,59,22,57,8,12,0.7,110,O3
2017/3/28,海口市,56,27,61,6,16,0.7,92,PM10
2017/3/29,海口市,53,25,56,6,14,0.7,70,PM10
2017/3/30,海口市,40,18,40,5,10,0.6,52,/
2017/3/31,海口市,35,17,33,6,18,0.7,70,/
2017/4/1,海口市,74,16,31,7,7,0.7,128,O3
2017/4/2,海口市,94,28,48,8,6,0.6,152,O3
2017/4/3,海口市,65,26,48,6,6,0.5,118,O3
2017/4/4,海口市,47,18,47,6,10,0.4,92,/
2017/4/5,海口市,50,22,50,6,13,0.5,75,/
2017/4/6,海口市,35,18,35,6,13,0.6,56,/
2017/4/7,海口市,30,14,30,6,11,0.5,56,/
2017/4/8,海口市,34,16,34,6,9,0.5,52,/
2017/4/9,海口市,36,15,36,5,10,0.4,54,/
2017/4/10,海口市,48,21,45,6,17,0.6,96,/
2017/4/11,海口市,55,27,59,8,30,0.7,74,PM10
2017/4/12,海口市,24,15,24,5,16,0.9,45,/
2017/4/13,海口市,38,21,38,6,15,0.9,71,/
2017/4/14,海口市,58,20,47,6,12,0.8,109,O3
2017/4/15,海口市,33,12,27,5,12,0.6,66,/
2017/4/16,海口市,29,10,22,5,8,0.5,58,/
2017/4/17,海口市,39,19,34,6,18,0.5,77,/
2017/4/18,海口市,51,22,52,8,33,0.6,88,PM10
2017/4/19,海口市,55,23,44,7,15,0.6,106,O3
2017/4/20,海口市,46,23,46,7,17,0.6,89,/
2017/4/21,海口市,46,24,43,7,13,0.6,92,/
2017/4/22,海口市,41,18,37,8,10,0.7,82,/
2017/4/23,海口市,48,33,48,7,13,0.7,86,/
2017/4/24,海口市,46,21,46,6,21,0.7,86,/
2017/4/25,海口市,36,16,30,6,17,0.6,71,/
2017/4/26,海口市,44,21,40,8,18,0.6,88,/
2017/4/27,海口市,50,30,50,9,23,0.7,85,/
2017/4/28,海口市,72,15,32,9,7,0.7,126,O3
2017/4/29,海口市,103,25,42,8,9,0.7,163,O3
2017/4/30,海口市,50,20,38,6,12,0.7,100,/
2017/5/1,海口市,41,16,34,5,8,0.6,82,/
2017/5/2,海口市,41,18,35,7,11,0.6,82,/
2017/5/3,海口市,38,18,38,7,9,0.6,74,/
2017/5/4,海口市,54,12,26,6,9,0.6,104,O3
2017/5/5,海口市,55,7,22,6,14,0.6,106,O3
2017/5/6,海口市,28,13,28,5,18,0.6,51,/
2017/5/7,海口市,23,11,23,6,12,0.5,43,/
2017/5/9,海口市,25,11,24,6,14,0.5,50,/
2017/5/10,海口市,30,8,21,6,12,0.5,59,/
2017/5/11,海口市,28,15,25,6,12,0.5,56,/
2017/5/12,海口市,36,13,26,6,12,0.5,71,/
2017/5/13,海口市,38,17,27,7,20,0.6,76,/
2017/5/16,海口市,53,10,23,8,16,0.7,103,O3
2017/5/17,海口市,83,22,38,8,7,0.7,139,O3
2017/5/18,海口市,62,20,39,6,6,0.6,114,O3
2017/5/19,海口市,46,18,40,6,7,0.6,92,/
2017/5/20,海口市,41,10,19,5,8,0.6,82,/
2017/5/21,海口市,33,12,21,6,17,0.7,66,/
2017/5/22,海口市,43,14,30,7,16,0.7,85,/
2017/5/23,海口市,36,13,28,6,13,0.5,72,/
2017/5/24,海口市,50,16,29,8,12,0.5,100,/
2017/5/25,海口市,46,16,28,8,9,0.7,92,/
2017/5/26,海口市,68,30,46,11,12,0.8,121,O3
2017/5/27,海口市,103,26,48,8,6,0.7,163,O3
2017/5/28,海口市,80,18,43,8,6,0.6,135,O3
2017/5/29,海口市,54,18,39,6,4,0.5,104,O3
2017/5/30,海口市,34,13,26,6,4,0.5,68,/
2017/5/31,海口市,41,13,24,6,12,0.6,81,/
2017/6/1,海口市,38,17,38,7,17,0.6,68,/
2017/6/2,海口市,36,14,36,6,13,0.5,70,/
2017/6/3,海口市,39,16,38,7,14,0.5,78,/
2017/6/4,海口市,46,14,32,6,14,0.5,92,/
2017/6/5,海口市,41,13,34,6,14,0.5,81,/
2017/6/6,海口市,34,11,24,6,7,0.5,68,/
2017/6/7,海口市,26,7,18,5,6,0.5,51,/
2017/6/8,海口市,23,5,15,5,8,0.5,46,/
